人物A,人物B,关系类型,出现在第几回,原文依据
秦可卿,贾宝玉,叔侄（秦氏称宝玉为宝二叔）,005,贾蓉媳妇秦氏便忙笑道：“我们这里有给宝二叔收拾下的屋子，老祖宗放心，只管交给我就是了。”
秦可卿,贾宝玉,成姻,005,再将吾妹一人，乳名兼美表字可卿者许配与汝，今夕良时即可成姻。
秦可卿,贾宝玉,梦中唤小名,005,却说秦氏正在房外嘱咐小丫头们好生看着猫儿狗儿打架，忽闻宝玉在梦中唤他的小名儿
英莲,门子,相熟,004,当日这英莲，我们天天哄他玩耍，极相熟的
英莲,薛蟠,买作妾,004,薛蟠见英莲生的不俗，立意买了作妾
薛姨妈,薛蟠,母子,"003,004",探春等却晓得是议论金陵城中居住的薛家姨母之子——表兄薛蟠
薛姨妈,薛宝钗,母女,004,寡母王氏乃现任京营节度王子腾之妹，与荣国府贾政的夫人王氏是一母所生的姊妹，今年方五十上下，只有薛蟠一子。还有一女，比薛蟠小两岁，乳名宝钗
薛宝钗,薛蟠,兄妹,004,还有一女，比薛蟠小两岁，乳名宝钗
薛蟠,贾政,姨父与外甥,004,贾政便使人进来对王夫人说：“姨太太已有了年纪，外甥年轻，不知庶务，在外住着恐又要生事
袭人,贾母,主仆,003,原来这袭人亦是贾母之婢
袭人,贾宝玉,主仆,003,贾母因溺爱宝玉，恐宝玉之婢不中使，素喜蕊珠心地纯良，遂与宝玉。
袭人,贾宝玉,丫鬟为伴,005,于是众奶姆伏侍宝玉卧好了，款款散去，只留下袭人、晴雯、麝月、秋纹四个丫鬟为伴。
贾代化,贾敷,父子,002,长子贾代化袭了官，也养了两个儿子：长子名贾敷，八九岁上死了，只剩了一个次子贾敬
贾代化,贾敬,父子,002,长子贾代化袭了官，也养了两个儿子：长子名贾敷，八九岁上死了，只剩了一个次子贾敬
贾代善,贾赦,父子,002,自荣公死后，长子贾代善袭了官，娶的是金陵世家史侯的小姐为妻。生了两个儿子，长名贾赦，次名贾政。
贾代善,贾政,父子,002,自荣公死后，长子贾代善袭了官，娶的是金陵世家史侯的小姐为妻。生了两个儿子，长名贾赦，次名贾政。
贾兰,贾珠,父子,004,珠虽夭亡，幸存一子，取名贾兰
贾宝玉,麝月,丫鬟为伴,005,于是众奶姆伏侍宝玉卧好了，款款散去，只留下袭人、晴雯、麝月、秋纹四个丫鬟为伴。
贾宝玉,贾母,命人哄着,005,一时宝玉倦怠，欲睡中觉。贾母命人：“好生哄着，歇息一回再来。”
贾政,贾敏,兄妹,002,目今你贵东家林公的夫人，即荣府中赦、政二公的胞妹，在家时名字唤贾敏。
贾政,贾赦,兄弟,002,生了两个儿子，长名贾赦，次名贾政。
贾政,贾珠,父子,002,这政老爷的夫人王氏，头胎生的公子名叫贾珠
贾政,贾琏,叔侄,002,这位琏爷身上现捐了个同知，也是不喜正务的，于世路上好机变，言谈去得，所以目今现在乃叔政老爷家住，帮着料理家务。
贾政,贾雨村,宗侄,003,雨村先整了衣冠，带着童仆，拿了宗侄的名帖至荣府门上投了。彼时贾政已看了妹丈之书，即忙请入相会。
贾敏,贾赦,兄妹,002,目今你贵东家林公的夫人，即荣府中赦、政二公的胞妹，在家时名字唤贾敏。
贾敬,贾珍,父子,002,只剩了一个次子贾敬，袭了官，如今一味好道，只爱烧丹炼汞，别事一概不管。幸而早年留下一个儿子，名唤贾珍
贾母,鹦哥,主仆,003,贾母见雪雁甚小，一团孩气，王嬷嬷又极老，料黛玉皆不遂心，将自己身边一个二等小丫头名唤鹦哥的与了黛玉。
贾母,迎春,孙女儿,005,一来贾母万般怜爱，寝食起居一如宝玉，把那迎春、探春、惜春三个孙女儿倒且靠后了
贾珍,贾蓉,父子,002,这位珍爷也生了一个儿子，今年才十六岁，名叫贾蓉。
贾琏,贾赦,父子,"002,003",若问那赦老爷，也有一子，名叫贾琏
贾赦,迎春,父女,002,二小姐乃是赦老爷姨娘所出，名迎春。
贾赦,邢夫人,夫妻,003,维时贾赦之妻邢氏忙起身笑回道
贾雨村,门子,贫贱之交,004,你也算贫贱之交了
贾雨村,门子,长官与门子,004,只留这门子一人伏侍
