人物A,人物B,类别,原标签,出现在第几回,上图,原文依据
晴雯,贾宝玉,主仆,丫鬟为伴,005,是,于是众奶姆伏侍宝玉卧好了，款款散去，只留下袭人、晴雯、麝月、秋纹四个丫鬟为伴。
李嬷嬷,贾宝玉,主仆,乳母,003,是,宝玉乳母李嬷嬷并大丫头名唤袭人的陪侍在外面大床上。
李守中,李纨,亲属,父女,004,是,这李氏亦系金陵名宦之女，父名李守中
李纨,林黛玉,亲属,嫂子,003,是,这是你先前珠大哥的媳妇珠大嫂子。
李纨,贾珠,亲属,夫妻,"003,004",是,这是你先前珠大哥的媳妇珠大嫂子。
林如海,贾敏,亲属,夫妻,002,是,今如海年已五十，只有一个三岁之子，又于去岁亡了，虽有几房姬妾，奈命中无子，亦无可如何之事。只嫡妻贾氏生得一女，乳名黛玉
林如海,林黛玉,亲属,父女,"002,003",是,今如海年已五十，只有一个三岁之子，又于去岁亡了，虽有几房姬妾，奈命中无子，亦无可如何之事。只嫡妻贾氏生得一女，乳名黛玉
林如海,贾赦,亲属,内兄,003,是,大内兄现袭一等将军之职，名赦，字恩侯；
林如海,贾政,亲属,内兄,003,是,二内兄名政，字存周，现任工部员外郎
林如海,贾政,亲属,妹丈,003,是,彼时贾政已看了妹丈之书，即忙请入相会。
林黛玉,贾敏,亲属,母女,002,是,只嫡妻贾氏生得一女，乳名黛玉
林黛玉,贾雨村,社会,师生,002,是,我这女学生名叫黛玉
林黛玉,贾母,亲属,外祖孙,003,是,黛玉知是外祖母了，正欲下拜，早被外祖母抱住，搂入怀中
林黛玉,邢夫人,亲属,舅母外甥女,003,是,这是你大舅母。
林黛玉,王夫人,亲属,舅母外甥女,003,是,这是二舅母。
林黛玉,贾赦,亲属,舅甥,003,是,维时贾赦之妻邢氏忙起身笑回道：“我带了外甥女儿过去，到底便宜些。”
林黛玉,贾政,亲属,舅甥,003,是,只是还要过去拜见二舅舅，恐去迟了不恭
林黛玉,王熙凤,亲属,嫂子,003,是,众姊妹都忙告诉黛玉道：“这是琏二嫂子。”黛玉忙陪笑见礼，以“嫂”呼之。
林黛玉,贾宝玉,亲属,表兄妹,003,是,宝玉早已看见了一个袅袅婷婷的女儿，便料定是林姑妈之女，忙来见礼。
林黛玉,王嬷嬷,主仆,奶娘,003,是,黛玉只带了两个人来，一个是自己的奶娘王嬷嬷，一个是十岁的小丫头，名唤雪雁。
林黛玉,雪雁,主仆,主仆,003,是,黛玉只带了两个人来，一个是自己的奶娘王嬷嬷，一个是十岁的小丫头，名唤雪雁。
林黛玉,鹦哥,主仆,主仆,003,是,当下王嬷嬷与鹦哥陪侍黛玉在碧纱厨内
林黛玉,薛宝钗,情感,相伴,004,是,宝钗日与黛玉、迎春姊妹等一处，或看书下棋，或做针黹，倒也十分相安。
林黛玉,贾母,情感,怜爱,005,是,如今且说林黛玉自在荣府，一来贾母万般怜爱，寝食起居一如宝玉
林黛玉,贾宝玉,情感,亲密友爱,005,是,就是宝玉黛玉二人的亲密友爱，也较别人不同，日则同行同坐，夜则同止同息，真是言和意顺，似漆如胶。
林黛玉,薛宝钗,情感,不忿,005,是,因此黛玉心中便有些不忿，宝钗却是浑然不觉。
王夫人,贾政,亲属,夫妻,"002,004",是,这政老爷的夫人王氏
王夫人,贾珠,亲属,母子,002,是,这政老爷的夫人王氏，头胎生的公子名叫贾珠
王夫人,王熙凤,亲属,姑侄,003,是,娶的就是二舅母王氏的内侄女；自幼假充男儿教养，学名叫做王熙凤。
王夫人,薛姨妈,亲属,姊妹,004,是,与荣国府贾政的夫人王氏是一母所生的姊妹
王夫人,薛蟠,亲属,姨母与外甥,004,是,你贾家的姨娘未必不苦留我们
王子腾,薛蟠,亲属,舅甥,"003,004",是,探春等却晓得是议论金陵城中居住的薛家姨母之子——表兄薛蟠，倚财仗势，打死人命，现在应天府案下审理。如今舅舅王子腾得了信，遣人来告诉这边，意欲唤取进京之意。
王子腾,薛姨妈,亲属,兄妹,004,是,寡母王氏乃现任京营节度王子腾之妹
王熙凤,贾琏,亲属,夫妻,003,是,大舅贾赦之子贾琏，娶的就是二舅母王氏的内侄女；自幼假充男儿教养，学名叫做王熙凤。
甄士隐,英莲,亲属,父女,"001,004",是,年过半百，膝下无儿，只有一女乳名英莲，年方三岁。
甄士隐,贾雨村,社会,交往,001,是,故士隐常与他交接。
甄士隐,贾雨村,事件,资助,001,否,其盘费馀事弟自代为处置，亦不枉兄之谬识矣。
甄士隐,霍启,主仆,主仆,001,是,士隐令家人霍启抱了英莲，去看社火花灯。
秋纹,贾宝玉,主仆,丫鬟为伴,005,是,于是众奶姆伏侍宝玉卧好了，款款散去，只留下袭人、晴雯、麝月、秋纹四个丫鬟为伴。
秦可卿,贾蓉,亲属,夫妻,005,是,贾蓉媳妇秦氏便忙笑道
秦可卿,贾母,亲属,重孙媳,005,是,贾母素知秦氏是极妥当的人，因他生得袅娜纤巧，行事又温柔和平，乃重孙媳中第一个得意之人。
秦可卿,贾宝玉,亲属,叔侄（秦氏称宝玉为宝二叔）,005,是,贾蓉媳妇秦氏便忙笑道：“我们这里有给宝二叔收拾下的屋子，老祖宗放心，只管交给我就是了。”
秦可卿,贾宝玉,事件,成姻,005,否,再将吾妹一人，乳名兼美表字可卿者许配与汝，今夕良时即可成姻。
秦可卿,贾宝玉,事件,梦中唤小名,005,否,却说秦氏正在房外嘱咐小丫头们好生看着猫儿狗儿打架，忽闻宝玉在梦中唤他的小名儿
英莲,门子,社会,相熟,004,是,当日这英莲，我们天天哄他玩耍，极相熟的
英莲,薛蟠,冲突,买作妾,004,是,薛蟠见英莲生的不俗，立意买了作妾
薛姨妈,薛蟠,亲属,母子,"003,004",是,探春等却晓得是议论金陵城中居住的薛家姨母之子——表兄薛蟠
薛姨妈,薛宝钗,亲属,母女,004,是,寡母王氏乃现任京营节度王子腾之妹，与荣国府贾政的夫人王氏是一母所生的姊妹，今年方五十上下，只有薛蟠一子。还有一女，比薛蟠小两岁，乳名宝钗
薛宝钗,薛蟠,亲属,兄妹,004,是,还有一女，比薛蟠小两岁，乳名宝钗
薛蟠,贾政,亲属,姨父与外甥,004,是,贾政便使人进来对王夫人说：“姨太太已有了年纪，外甥年轻，不知庶务，在外住着恐又要生事
袭人,贾母,主仆,主仆,003,是,原来这袭人亦是贾母之婢
袭人,贾宝玉,主仆,主仆,003,是,贾母因溺爱宝玉，恐宝玉之婢不中使，素喜蕊珠心地纯良，遂与宝玉。
袭人,贾宝玉,主仆,丫鬟为伴,005,是,于是众奶姆伏侍宝玉卧好了，款款散去，只留下袭人、晴雯、麝月、秋纹四个丫鬟为伴。
贾代化,贾敷,亲属,父子,002,是,长子贾代化袭了官，也养了两个儿子：长子名贾敷，八九岁上死了，只剩了一个次子贾敬
贾代化,贾敬,亲属,父子,002,是,长子贾代化袭了官，也养了两个儿子：长子名贾敷，八九岁上死了，只剩了一个次子贾敬
贾代善,贾赦,亲属,父子,002,是,自荣公死后，长子贾代善袭了官，娶的是金陵世家史侯的小姐为妻。生了两个儿子，长名贾赦，次名贾政。
贾代善,贾政,亲属,父子,002,是,自荣公死后，长子贾代善袭了官，娶的是金陵世家史侯的小姐为妻。生了两个儿子，长名贾赦，次名贾政。
贾兰,贾珠,亲属,父子,004,是,珠虽夭亡，幸存一子，取名贾兰
贾宝玉,麝月,主仆,丫鬟为伴,005,是,于是众奶姆伏侍宝玉卧好了，款款散去，只留下袭人、晴雯、麝月、秋纹四个丫鬟为伴。
贾宝玉,贾母,事件,命人哄着,005,否,一时宝玉倦怠，欲睡中觉。贾母命人：“好生哄着，歇息一回再来。”
贾政,贾敏,亲属,兄妹,002,是,目今你贵东家林公的夫人，即荣府中赦、政二公的胞妹，在家时名字唤贾敏。
贾政,贾赦,亲属,兄弟,002,是,生了两个儿子，长名贾赦，次名贾政。
贾政,贾珠,亲属,父子,002,是,这政老爷的夫人王氏，头胎生的公子名叫贾珠
贾政,贾琏,亲属,叔侄,002,是,这位琏爷身上现捐了个同知，也是不喜正务的，于世路上好机变，言谈去得，所以目今现在乃叔政老爷家住，帮着料理家务。
贾政,贾雨村,亲属,宗侄,003,是,雨村先整了衣冠，带着童仆，拿了宗侄的名帖至荣府门上投了。彼时贾政已看了妹丈之书，即忙请入相会。
贾敏,贾赦,亲属,兄妹,002,是,目今你贵东家林公的夫人，即荣府中赦、政二公的胞妹，在家时名字唤贾敏。
贾敬,贾珍,亲属,父子,002,是,只剩了一个次子贾敬，袭了官，如今一味好道，只爱烧丹炼汞，别事一概不管。幸而早年留下一个儿子，名唤贾珍
贾母,鹦哥,主仆,主仆,003,是,贾母见雪雁甚小，一团孩气，王嬷嬷又极老，料黛玉皆不遂心，将自己身边一个二等小丫头名唤鹦哥的与了黛玉。
贾母,迎春,亲属,孙女儿,005,是,一来贾母万般怜爱，寝食起居一如宝玉，把那迎春、探春、惜春三个孙女儿倒且靠后了
贾珍,贾蓉,亲属,父子,002,是,这位珍爷也生了一个儿子，今年才十六岁，名叫贾蓉。
贾琏,贾赦,亲属,父子,"002,003",是,若问那赦老爷，也有一子，名叫贾琏
贾赦,迎春,亲属,父女,002,是,二小姐乃是赦老爷姨娘所出，名迎春。
贾赦,邢夫人,亲属,夫妻,003,是,维时贾赦之妻邢氏忙起身笑回道
贾雨村,门子,社会,贫贱之交,004,是,你也算贫贱之交了
贾雨村,门子,主仆,长官与门子,004,是,只留这门子一人伏侍
